# {"t_start": 1594485937.9797716, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5,r6
-2,100,6.677871,2,0,0,0,-4,0,0
-25,100,10.502518,18,0,17,0,-60,0,0
-5,100,14.267334,12,0,0,8,-25,0,0
40,100,17.872206,2,0,0,0,38,0,0
15,100,21.663939,25,0,0,6,-16,0,0
-5,100,25.573743,10,0,1,4,-20,0,0
54,100,29.49727,17,0,0,3,34,0,0
21,100,33.34152,0,0,0,0,21,0,0
0,100,37.242511,0,0,0,0,0,0,0
24,100,41.145535,0,0,0,0,24,0,0
-1,100,97.201195,3,0,0,4,-8,0,0
0,100,101.031542,4,2,0,0,-6,0,0
5,100,104.89147,10,1,0,0,-6,0,0
6,100,108.635753,0,0,0,0,6,0,0
15,100,112.361721,2,1,0,0,12,0,0
1,100,116.042804,7,0,2,4,-12,0,0
-4,100,119.520516,0,4,0,0,-8,0,0
2,100,122.951828,0,1,0,0,1,0,0
12,100,126.336807,8,0,2,0,2,0,0
7,100,129.747163,33,1,1,5,-33,0,0
14,100,148.008389,0,0,1,0,13,0,0
14,100,151.69717,0,0,1,0,13,0,0
3,100,155.447395,0,0,1,2,0,0,0
0,100,159.166493,4,0,1,0,-5,0,0
-8,100,162.884974,8,0,0,0,-16,0,0
13,100,166.536785,1,1,0,0,11,0,0
2,100,170.100697,0,3,0,1,-2,0,0
0,100,173.329573,8,0,2,0,-10,0,0
3,100,176.384475,8,2,0,0,-7,0,0
0,100,179.776884,0,0,0,0,0,0,0
3,100,198.493846,0,0,0,0,3,0,0
0,100,202.2899,0,0,0,0,0,0,0
0,100,206.469737,8,0,0,2,-10,0,0
9,100,210.547918,0,0,0,3,6,0,0
0,100,214.414616,0,0,0,0,0,0,0
0,100,218.095262,0,0,0,0,0,0,0
0,100,221.883432,0,0,0,0,0,0,0
21,100,225.724658,0,0,0,0,21,0,0
47,100,229.507967,4,0,1,1,41,0,0
7,100,233.157728,27,4,0,13,-37,0,0
3,100,251.224573,0,0,0,3,0,0,0
0,100,255.01168,0,0,0,0,0,0,0
-8,100,258.885998,0,2,6,0,-16,0,0
0,100,262.80251,0,0,0,0,0,0,0
-1,100,266.624387,1,0,0,0,-2,0,0
0,100,270.319959,0,0,0,0,0,0,0
6,100,274.121032,0,0,0,0,6,0,0
-7,100,277.879143,5,1,0,1,-14,0,0
12,100,281.707129,8,0,0,2,2,0,0
12,100,285.453747,0,0,0,0,12,0,0
6,100,304.605303,5,0,0,0,1,0,0
-4,100,308.059303,0,0,0,4,-8,0,0
20,100,311.330211,0,0,4,0,16,0,0
0,100,315.022075,0,0,0,0,0,0,0
-11,100,318.734845,8,0,0,3,-22,0,0
-1,100,322.349985,0,0,0,1,-2,0,0
-3,100,326.270201,1,2,0,0,-6,0,0
37,100,330.047894,8,0,0,4,25,0,0
46,100,333.814845,12,0,0,0,34,0,0
4,100,337.485926,2,0,0,0,2,0,0
-3,100,356.023955,1,0,0,2,-6,0,0
3,100,359.437652,10,2,0,1,-10,0,0
-1,100,362.77863,0,0,4,3,-8,0,0
15,100,366.300824,8,0,5,0,2,0,0
-4,100,369.932997,0,0,4,0,-8,0,0
6,100,373.850363,28,5,0,2,-29,0,0
0,100,377.882019,0,0,0,0,0,0,0
27,100,381.897511,8,0,2,0,17,0,0
16,100,385.69138,10,0,0,2,4,0,0
9,100,389.484786,0,0,0,0,9,0,0
7,100,408.134213,0,6,2,0,-1,0,0
27,100,411.543765,0,3,0,0,24,0,0
12,100,415.127959,1,0,4,1,6,0,0
18,100,418.67984,0,0,0,0,18,0,0
55,100,422.155245,20,5,2,0,28,0,0
