# {"t_start": 1594016576.393634, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-85.61707934831978,100,9.415657,84.35507896038138,-4.0,-4.0,-4.0,-68.82572086573927,-89.14643744296188
-29.234519105988735,100,15.838672,-16.427275272066222,0.0,0.0,0.0,-4.01003851646424,-8.797205317458275
-59.66169569206413,100,22.067016,-6.682849167690854,0.0,0.0,0.0,-15.108466346455007,-37.87038017791827
-149.42559087379956,100,28.607897,27.457381840233694,-8.0,-8.0,-8.0,-67.71510923804937,-85.16786347598389
-72.08544350793741,100,34.983314,-35.15842457502193,-3.0,-3.0,-3.0,-19.648097633402543,-8.278921299512938
-151.73410463617824,100,41.902526,-5.850664556297619,-11.0,-11.0,-11.0,-35.74421117495796,-77.13922890492269
-95.64427700893069,100,48.520865,84.41786948998933,0.0,0.0,0.0,-56.62445994384123,-123.43768655507878
-94.40950518827103,100,55.287732,41.38905349657013,0.0,0.0,0.0,-23.956720724746493,-111.84183796009467
-172.50933770023852,100,61.653411,12.150759013238734,-11.0,-11.0,-11.0,-79.3422689430709,-72.31782777040634
-48.00204340257057,100,67.770861,-36.89327833818254,-2.0,-2.0,-2.0,-7.717887735836847,2.609122671448814
-92.1476838960732,100,73.646088,-29.043991006322784,-5.0,-5.0,-5.0,-2.8356400125607037,-45.26805287718971
-155.03476233699755,100,79.442628,36.58901762385521,-3.0,-3.0,-3.0,-100.89566581294159,-81.72811414791117
-37.64239068378578,100,85.306717,-12.007924613342395,0.0,0.0,0.0,-2.76861289867197,-22.86585317177141
-111.12190429961463,100,91.035992,-29.901587170518955,-2.0,-2.0,-2.0,-27.361745795017026,-47.85857133407865
-115.92726355599777,100,96.491709,15.860080681195706,-1.0,-1.0,-1.0,-8.766891686238257,-120.02045255095521
-64.7806114954621,100,101.229232,-4.879400370318363,0.0,0.0,0.0,-36.59737323842323,-23.3038378867205
-86.93827480899459,100,106.221575,64.54191464490465,0.0,0.0,0.0,-84.61319137500614,-66.8669980788931
-142.87977717925085,100,111.382129,76.8874830481917,0.0,0.0,0.0,-101.4940277071906,-118.27323252025195
-56.02075462155517,100,117.436657,-9.512255786984928,0.0,0.0,0.0,-24.141804148430875,-22.36669468613937
-76.39557094392174,100,123.190566,-8.79087789515655,-6.0,-6.0,-6.0,-15.203921583018948,-34.40077146574624
-72.15191581525673,100,200.044455,33.810003396831135,-2.0,-2.0,-2.0,-33.79249445264401,-66.16942475944386
-40.76747901123352,100,206.125806,-13.371315615107571,0.0,0.0,0.0,-25.01918135631484,-2.376982039811108
-67.39010396782254,100,212.469159,4.245714651012431,0.0,0.0,0.0,-32.99698643986505,-38.63883217896993
-59.397452330792994,100,217.746013,-35.23122694197199,0.0,0.0,0.0,-6.407440527065322,-17.75878486175568
-48.336329601970085,100,223.440822,-41.52241180138972,-2.0,-2.0,-2.0,-2.619402692696418,1.8054848921160527
-53.06307909552369,100,228.871926,9.522629779750998,0.0,0.0,0.0,-59.39226187189026,-3.1934470033844296
-48.62281162124787,100,234.17288,1.7345541116064986,0.0,0.0,0.0,-44.31830696971441,-6.039058763139954
-139.96298982873833,100,239.29852,-21.308753120409044,0.0,0.0,0.0,-59.852614749747815,-58.80162195858149
-76.59392979484544,100,244.417131,11.865366677420756,-1.0,-1.0,-1.0,-36.380567580323834,-49.078728891942355
-74.45544927588732,100,249.47994,62.65646678640243,0.0,0.0,0.0,-106.36968222882128,-30.74223383346847
-56.2611378628552,100,253.979673,-14.201172995924685,-2.0,-2.0,-2.0,-23.14515520711665,-12.914809659813862
-33.02171484173881,100,258.717656,15.667393832791056,0.0,0.0,0.0,-24.748103574041643,-23.94100510048823
-33.95661601975378,100,263.277764,8.377419260182956,0.0,0.0,0.0,-20.381933138788046,-21.95210214114869
-50.58639805795539,100,268.770844,-4.48429424936824,0.0,0.0,0.0,-18.52382919285586,-27.57827461573129
-64.85749234795364,100,274.375144,-15.09658699710096,0.0,0.0,0.0,-46.85865392792346,-2.9022514229292087
-32.950330380442274,100,279.955622,-15.458327850530358,-3.0,-3.0,-3.0,-7.926774444299191,-0.5652280856127221
-116.61402320444019,100,285.20454,-42.0123623028001,0.0,0.0,0.0,-42.9986992041612,-31.602961697478886
-69.14345678095475,100,290.799432,-27.305856170124795,0.0,0.0,0.0,-37.860554101577925,-3.9770465092520393
-75.48115857069793,100,295.990447,6.250192915047842,-2.0,-2.0,-2.0,-34.4104468533738,-41.32090463237197
-38.08746543269599,100,301.540227,-23.183949280602945,0.0,0.0,0.0,-8.07521214694441,-6.828304005148639
-30.520085277180097,100,360.669414,-24.305852498920366,0.0,0.0,0.0,-3.2523298451635956,-2.961902933096138
-45.345153340662144,100,366.91405,-32.82989857678747,0.0,0.0,0.0,-9.419585855024572,-3.0956689088501026
-59.37032463515193,100,372.692157,22.124127266420857,0.0,0.0,0.0,-44.925311533810145,-36.56914036776264
-44.88031503124357,100,378.353,4.418135038038516,-4.0,-4.0,-4.0,-29.957318277674013,-7.341131791608069
-50.102653690823445,100,384.186948,-21.220737029242088,-3.0,-3.0,-3.0,-8.72096423281613,-11.160952428765226
-45.86733541340159,100,389.352216,-36.392675138709095,-3.0,-3.0,-3.0,-4.393508721794177,3.918848447101683
-32.20343316480243,100,394.2596,4.189811388010865,0.0,0.0,0.0,-13.141814908887632,-23.251429643925665
-37.714259583704965,100,399.346028,-33.65640731215764,0.0,0.0,0.0,-2.3681220735582293,-1.6897301979890973
-53.22701200758429,100,404.225058,29.16258917803697,0.0,0.0,0.0,-20.528856099475142,-61.860745086146125
-37.129896836243915,100,409.57533,-14.297762431335906,0.0,0.0,0.0,-18.616205973999485,-4.215928430908529
-28.16858357612393,100,413.860275,8.236803807050496,0.0,0.0,0.0,-13.159775188603147,-23.245612194571276
-39.89266551759333,100,418.691147,-33.529537092332546,0.0,0.0,0.0,-2.953652783109493,-3.409475642151295
-37.353919528099134,100,423.735066,-19.211367439264038,0.0,0.0,0.0,-4.609071651547641,-13.533480437287457
-56.543568093698156,100,428.819487,-11.597030378686533,-4.0,-4.0,-4.0,-20.482639599767293,-12.463898115244337
-31.58994926201421,100,434.423306,-15.008468829189976,0.0,0.0,0.0,-13.504205566627117,-3.0772748661971168
-28.97776976882016,100,440.450771,-21.551807350821548,0.0,0.0,0.0,-3.959636504528501,-3.4663259134701105
-67.00677831765971,100,446.482746,-35.357643025490084,-2.0,-2.0,-2.0,-2.0847235477974335,-23.564411744372197
-45.93452803434639,100,452.434932,-1.5240615646812021,0.0,0.0,0.0,-36.946326997841915,-7.464139471823271
-33.308818564516855,100,458.388532,-15.321791032844827,-2.0,-2.0,-2.0,1.782370088632099,-13.769397620304124
-34.405949467857596,100,464.08304,-6.235034565413414,-4.0,-4.0,-4.0,-17.393687169817895,1.2227722673737098
-53.63463650455606,100,520.511509,-10.689690962807251,-15.0,-15.0,-15.0,4.20601245953191,-2.1509580012807294
-39.578985197969764,100,525.93259,6.839397688955662,0.0,0.0,0.0,-7.893242700471135,-38.525140186454294
-33.81004372459128,100,531.206012,-13.880744018249569,0.0,0.0,0.0,-7.190686193247549,-12.738613513094169
-36.9369112035839,100,535.618526,-21.41543739079035,-2.0,-2.0,-2.0,-2.0536436231694974,-7.467830189624051
-43.71516520431423,100,541.047125,-33.688965271985786,-3.0,-3.0,-3.0,-1.916620425598919,0.8904204932704751
-69.63373558535736,100,545.93382,-50.024235576226076,-17.0,-17.0,-17.0,4.633720916487635,26.756779074381093
-33.49887593128168,100,550.875018,7.5657104508521575,0.0,0.0,0.0,-13.430026550090384,-27.634559832043458
-49.24937442696055,100,555.616557,-31.157464787026353,-9.0,-9.0,-9.0,-1.910140715192341,10.818231075258147
-36.15660780528614,100,560.353999,-31.88424683447593,0.0,0.0,0.0,-1.9156729574566609,-2.356688013353547
-56.496872202140665,100,565.851913,-40.641085947148085,-13.0,-13.0,-13.0,8.808183731900735,14.336030013106683
-34.174622169983714,100,571.317333,-23.619479203378912,0.0,0.0,0.0,-8.346491043709515,-2.2086519228952883
-40.63787446335703,100,576.726197,5.373382211615274,-4.0,-4.0,-4.0,-5.3981280876686935,-28.61312858730361
-43.682168668340594,100,581.745386,-26.76246023514889,-4.0,-4.0,-4.0,4.312321137163812,-9.232029570355515
-38.59500150560312,100,587.689452,-32.00416808619205,-2.0,-2.0,-2.0,-2.152232153407615,1.561398733996549
-76.92858261248594,100,593.490856,-28.99323740566561,-22.0,-22.0,-22.0,-2.2781786460541196,20.342833439233793
-39.99351577661183,100,599.242969,-33.77984500250548,-2.0,-2.0,-2.0,-2.6302560931943635,2.416585319088013
-54.155616483295546,100,605.249652,-17.048367097765112,0.0,0.0,0.0,-14.988059248723879,-22.119190136806555
-39.1831879167296,100,610.994311,-8.05879120217578,-3.0,-3.0,-3.0,-2.6987631843797684,-19.425633530174053
-63.625152203981465,100,617.380577,-16.49152408212254,-18.0,-18.0,-18.0,-3.70627796948318,10.572649847624257
-42.74631785724874,100,623.549669,-21.387600892182856,0.0,0.0,0.0,-2.0915302628968915,-19.267186702168996
-36.59732741123533,100,680.058076,-29.427617963929364,0.0,0.0,0.0,-3.3785647084142805,-3.791144738891682
