# {"t_start": 1593497534.3989105, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-326.16633903980255,100,2.969267,-326.16633903980255,0.0,0.0
-186.3492510020733,100,3.750855,-186.3492510020733,0.0,0.0
-420.2429042235017,100,4.441056,-420.2429042235017,0.0,0.0
-412.0516346395016,100,5.408962,-412.0516346395016,0.0,0.0
-551.1315704286098,100,6.403648,-551.1315704286098,0.0,0.0
-246.24477188289165,100,7.281145,-246.24477188289165,0.0,0.0
-245.0244305729866,100,8.224396,-245.0244305729866,0.0,0.0
-135.8231166563928,100,9.077621,-135.8231166563928,0.0,0.0
-219.08269871026278,100,9.896839,-219.08269871026278,0.0,0.0
-300.2182247377932,100,10.872007,-300.2182247377932,0.0,0.0
-512.4369027167559,100,19.594113,-512.4369027167559,0.0,0.0
-389.3262524008751,100,20.555988,-389.3262524008751,0.0,0.0
-410.2696605026722,100,22.192661,-410.2696605026722,0.0,0.0
-353.3647009432316,100,23.835575,-353.3647009432316,0.0,0.0
-227.73136727511883,100,25.553823,-227.73136727511883,0.0,0.0
-205.93059638887644,100,26.641099,-205.93059638887644,0.0,0.0
-412.033434279263,100,27.546515,-412.033434279263,0.0,0.0
-188.37946794182062,100,28.279136,-188.37946794182062,0.0,0.0
-204.09143466502428,100,29.113682,-204.09143466502428,0.0,0.0
-281.4144766628742,100,30.23172,-281.4144766628742,0.0,0.0
-206.55922896787524,100,34.559281,-206.55922896787524,0.0,0.0
-497.81812339648604,100,35.579703,-497.81812339648604,0.0,0.0
-330.8071187324822,100,36.653889,-330.8071187324822,0.0,0.0
-268.35272154212,100,37.609341,-268.35272154212,0.0,0.0
-284.2947073429823,100,38.41498,-284.2947073429823,0.0,0.0
-263.40257596969604,100,39.213148,-263.40257596969604,0.0,0.0
-188.4726071357727,100,39.958933,-188.4726071357727,0.0,0.0
-206.81560281664133,100,40.698771,-206.81560281664133,0.0,0.0
-272.9832432642579,100,41.527709,-272.9832432642579,0.0,0.0
-243.86617147177458,100,42.774501,-243.86617147177458,0.0,0.0
-370.6149204224348,100,46.616912,-370.6149204224348,0.0,0.0
-131.55519567243755,100,47.357994,-131.55519567243755,0.0,0.0
-224.430787935853,100,48.162823,-224.430787935853,0.0,0.0
-192.92318357154727,100,48.933769,-192.92318357154727,0.0,0.0
