# {"t_start": 1593291957.1406322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-305.7589185386896,100,2.403328,-305.7589185386896,0.0,0.0
-345.8405481874943,100,3.112673,-345.8405481874943,0.0,0.0
-195.2264273352921,100,3.823443,-195.2264273352921,0.0,0.0
-371.68670277670026,100,4.508581,-371.68670277670026,0.0,0.0
-267.40967486053705,100,5.218168,-267.40967486053705,0.0,0.0
-179.4721504598856,100,5.955813,-179.4721504598856,0.0,0.0
-180.22402077913284,100,6.668205,-180.22402077913284,0.0,0.0
-288.49386528134346,100,7.399214,-288.49386528134346,0.0,0.0
-174.64152178168297,100,8.105768,-174.64152178168297,0.0,0.0
-480.791484169662,100,8.793804,-480.791484169662,0.0,0.0
-214.3803062364459,100,50.560741,-214.3803062364459,0.0,0.0
-183.0547227934003,100,51.285689,-183.0547227934003,0.0,0.0
-295.9771628975868,100,52.033559,-293.9771628975868,0.0,-2.0
-107.79736549407244,100,52.762534,-107.79736549407244,0.0,0.0
-156.79860530700535,100,53.460155,-156.79860530700535,0.0,0.0
-231.7458669692278,100,54.161102,-231.7458669692278,0.0,0.0
-207.9800254702568,100,54.875017,-207.9800254702568,0.0,0.0
-214.77827783674002,100,55.573542,-214.77827783674002,0.0,0.0
-251.70236206427217,100,56.275525,-251.70236206427217,0.0,0.0
-294.0124993696809,100,56.971681,-294.0124993696809,0.0,0.0
-322.97621704638004,100,85.60427,-322.97621704638004,0.0,0.0
-197.06177887506783,100,86.343037,-197.06177887506783,0.0,0.0
-364.0052609555423,100,87.058403,-364.0052609555423,0.0,0.0
-153.08838334307075,100,87.794323,-153.08838334307075,0.0,0.0
-386.69362697564065,100,88.498175,-382.69362697564065,-2.0,-2.0
-192.31106027960777,100,89.200115,-192.31106027960777,0.0,0.0
-224.89055752940476,100,89.932668,-224.89055752940476,0.0,0.0
-195.94339349865913,100,90.643736,-195.94339349865913,0.0,0.0
-220.60475213080645,100,91.347968,-217.60475213080645,0.0,-3.0
-426.90440660715103,100,92.05098,-426.90440660715103,0.0,0.0
-550.1003579497337,100,120.502376,-548.1003579497337,0.0,-2.0
-248.79184971004725,100,121.216807,-248.79184971004725,0.0,0.0
-210.92822133749723,100,121.915628,-210.92822133749723,0.0,0.0
-186.43016179092228,100,122.639603,-186.43016179092228,0.0,0.0
-224.07749765366316,100,123.334029,-224.07749765366316,0.0,0.0
-144.60651171579957,100,124.060894,-144.60651171579957,0.0,0.0
-274.5422643870115,100,124.739062,-274.5422643870115,0.0,0.0
-456.6635285615921,100,125.438384,-456.6635285615921,0.0,0.0
-315.8338906019926,100,126.126732,-315.8338906019926,0.0,0.0
-408.6058250963688,100,126.80986,-407.6058250963688,-1.0,0.0
-141.66211887821555,100,154.542779,-141.66211887821555,0.0,0.0
-237.94014282524586,100,155.259326,-237.94014282524586,0.0,0.0
-382.1387979090214,100,155.906307,-378.1387979090214,-2.0,-2.0
-307.5636306926608,100,156.595416,-307.5636306926608,0.0,0.0
-285.51546569913626,100,157.308825,-285.51546569913626,0.0,0.0
-262.4102285578847,100,158.017938,-257.4102285578847,-3.0,-2.0
-187.89738558977842,100,158.71041,-187.89738558977842,0.0,0.0
-249.58692225068808,100,159.41976,-249.58692225068808,0.0,0.0
-319.9966039834544,100,160.107141,-319.9966039834544,0.0,0.0
-189.6529725957662,100,160.7658,-189.6529725957662,0.0,0.0
-218.7337578162551,100,188.30868,-218.7337578162551,0.0,0.0
-305.7385483905673,100,189.007093,-305.7385483905673,0.0,0.0
-278.22085345909,100,189.705401,-271.22085345909,0.0,-7.0
-216.6193700172007,100,190.401437,-212.6193700172007,0.0,-4.0
-262.22975751012564,100,191.10147,-262.22975751012564,0.0,0.0
-258.89337077364326,100,191.803596,-258.89337077364326,0.0,0.0
-165.1412868630141,100,192.487077,-165.1412868630141,0.0,0.0
-190.21089831367135,100,193.17919,-190.21089831367135,0.0,0.0
-296.5481710731983,100,193.880646,-296.5481710731983,0.0,0.0
-201.89370151609182,100,194.566725,-201.89370151609182,0.0,0.0
-202.0847049355507,100,222.25824,-198.0847049355507,-2.0,-2.0
-232.07777471467853,100,222.906483,-232.07777471467853,0.0,0.0
-253.25081692263484,100,223.592768,-252.25081692263484,-1.0,0.0
