# {"t_start": 1593313974.7430322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-642.6750444173813,100,1.667161,-642.6750444173813,0.0,0.0
-278.9210778437555,100,2.208578,-278.9210778437555,0.0,0.0
-144.28091704845428,100,2.783076,-144.28091704845428,0.0,0.0
-263.76381492614746,100,3.299093,-263.76381492614746,0.0,0.0
-485.04784113913774,100,3.87778,-485.04784113913774,0.0,0.0
-271.827850850299,100,4.457626,-271.827850850299,0.0,0.0
-533.6012593209743,100,5.004878,-533.6012593209743,0.0,0.0
-372.1034772694111,100,5.532964,-372.1034772694111,0.0,0.0
-284.20491390675306,100,6.03648,-284.20491390675306,0.0,0.0
-150.15959292650223,100,6.569567,-150.15959292650223,0.0,0.0
-142.82931900024414,100,20.79687,-140.82931900024414,0.0,-2.0
-200.30119661986828,100,21.338171,-200.30119661986828,0.0,0.0
-198.7730770520866,100,21.884659,-197.7730770520866,0.0,-1.0
-182.95619250647724,100,22.392354,-182.95619250647724,0.0,0.0
-394.34457859024405,100,22.931197,-394.34457859024405,0.0,0.0
-179.89799653925002,100,23.529093,-179.89799653925002,0.0,0.0
-482.4832715988159,100,24.047077,-482.4832715988159,0.0,0.0
-524.4641900956631,100,24.57561,-524.4641900956631,0.0,0.0
-445.88248594105244,100,25.130835,-445.88248594105244,0.0,0.0
-300.6695948690176,100,25.671612,-294.6695948690176,-3.0,-3.0
-198.3544223383069,100,33.520302,-198.3544223383069,0.0,0.0
-238.3979640249163,100,34.003832,-238.3979640249163,0.0,0.0
-304.15740099549294,100,34.511259,-303.15740099549294,0.0,-1.0
-202.04296030290425,100,35.03025,-200.04296030290425,-2.0,0.0
-239.72046776115894,100,35.562881,-239.72046776115894,0.0,0.0
-224.93456801213324,100,36.104614,-218.93456801213324,-3.0,-3.0
-325.422793969512,100,36.674716,-325.422793969512,0.0,0.0
-257.36174611002207,100,37.182094,-254.36174611002207,-2.0,-1.0
-207.68843373656273,100,37.745262,-207.68843373656273,0.0,0.0
-195.06399109214544,100,38.273349,-195.06399109214544,0.0,0.0
-239.08535734564066,100,46.058846,-239.08535734564066,0.0,0.0
-202.1443722434342,100,46.554962,-202.1443722434342,0.0,0.0
-287.1983634456992,100,47.039943,-287.1983634456992,0.0,0.0
-290.9321574680507,100,47.541204,-290.9321574680507,0.0,0.0
-290.9635897167027,100,48.069334,-290.9635897167027,0.0,0.0
-234.51872000843287,100,48.602899,-234.51872000843287,0.0,0.0
-265.9308109283447,100,49.15052,-263.9308109283447,0.0,-2.0
-267.45352859795094,100,49.697756,-263.45352859795094,-2.0,-2.0
-223.0814335346222,100,50.227915,-221.0814335346222,0.0,-2.0
-269.02152018994093,100,50.756888,-269.02152018994093,0.0,0.0
-243.62657916545868,100,57.877168,-243.62657916545868,0.0,0.0
