# {"t_start": 1593492742.4325173, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-494.90376187488437,100,9.077734,-494.90376187488437,0.0,0.0,0.0,0.0,0.0
-598.8648100597784,100,11.159791,-598.8648100597784,0.0,0.0,0.0,0.0,0.0
-358.18079420924187,100,13.51961,-358.18079420924187,0.0,0.0,0.0,0.0,0.0
-630.2340248301625,100,15.872146,-630.2340248301625,0.0,0.0,0.0,0.0,0.0
-427.49002979695797,100,18.174373,-427.49002979695797,0.0,0.0,0.0,0.0,0.0
-440.1104994341731,100,20.447428,-440.1104994341731,0.0,0.0,0.0,0.0,0.0
-297.17242387868464,100,22.751653,-297.17242387868464,0.0,0.0,0.0,0.0,0.0
-444.5805616080761,100,24.673755,-444.5805616080761,0.0,0.0,0.0,0.0,0.0
-297.3799974543508,100,26.745046,-297.3799974543508,0.0,0.0,0.0,0.0,0.0
-774.8389808610082,100,28.64401,-774.8389808610082,0.0,0.0,0.0,0.0,0.0
-335.41733434516937,100,41.117861,-335.41733434516937,0.0,0.0,0.0,0.0,0.0
-531.0657636038959,100,43.277738,-531.0657636038959,0.0,0.0,0.0,0.0,0.0
-322.17859867960215,100,45.472883,-322.17859867960215,0.0,0.0,0.0,0.0,0.0
-252.78933786973357,100,47.620729,-252.78933786973357,0.0,0.0,0.0,0.0,0.0
-410.05594093725085,100,49.884177,-410.05594093725085,0.0,0.0,0.0,0.0,0.0
-329.25598653033376,100,51.879778,-329.25598653033376,0.0,0.0,0.0,0.0,0.0
-275.49333555065095,100,54.488169,-275.49333555065095,0.0,0.0,0.0,0.0,0.0
-395.98883121460676,100,56.70398,-395.98883121460676,0.0,0.0,0.0,0.0,0.0
-325.30269863829017,100,58.911236,-325.30269863829017,0.0,0.0,0.0,0.0,0.0
-276.7611125558615,100,61.004604,-276.7611125558615,0.0,0.0,0.0,0.0,0.0
-456.7869750019163,100,66.754693,-456.7869750019163,0.0,0.0,0.0,0.0,0.0
-267.67885521799326,100,69.009167,-267.67885521799326,0.0,0.0,0.0,0.0,0.0
-553.7269424572587,100,71.125268,-553.7269424572587,0.0,0.0,0.0,0.0,0.0
-293.8487991988659,100,73.353251,-293.8487991988659,0.0,0.0,0.0,0.0,0.0
-456.67891579307616,100,75.485185,-456.67891579307616,0.0,0.0,0.0,0.0,0.0
-368.1771849412471,100,77.416882,-368.1771849412471,0.0,0.0,0.0,0.0,0.0
-425.7184101678431,100,79.354692,-425.7184101678431,0.0,0.0,0.0,0.0,0.0
-284.855108037591,100,81.364136,-284.855108037591,0.0,0.0,0.0,0.0,0.0
-365.4523369278759,100,83.416675,-365.4523369278759,0.0,0.0,0.0,0.0,0.0
-566.4429423492402,100,85.731289,-566.4429423492402,0.0,0.0,0.0,0.0,0.0
-613.4403272867203,100,91.500702,-613.4403272867203,0.0,0.0,0.0,0.0,0.0
-316.51228968426585,100,93.58379,-316.51228968426585,0.0,0.0,0.0,0.0,0.0
-441.60840813815594,100,95.80407,-441.60840813815594,0.0,0.0,0.0,0.0,0.0
-257.7039150139317,100,97.77197,-257.7039150139317,0.0,0.0,0.0,0.0,0.0
-272.13442179374397,100,99.951577,-272.13442179374397,0.0,0.0,0.0,0.0,0.0
-391.4065547399223,100,102.020029,-391.4065547399223,0.0,0.0,0.0,0.0,0.0
-283.6085485536605,100,104.182049,-283.6085485536605,0.0,0.0,0.0,0.0,0.0
-541.6279059611261,100,106.358428,-541.6279059611261,0.0,0.0,0.0,0.0,0.0
-340.2387002557516,100,108.394872,-340.2387002557516,0.0,0.0,0.0,0.0,0.0
-377.7859539799392,100,110.53423,-377.7859539799392,0.0,0.0,0.0,0.0,0.0
-362.1743492335081,100,116.144205,-362.1743492335081,0.0,0.0,0.0,0.0,0.0
-338.23688482120633,100,118.173227,-338.23688482120633,0.0,0.0,0.0,0.0,0.0
-254.58688321243972,100,120.448056,-254.58688321243972,0.0,0.0,0.0,0.0,0.0
-287.85006428556517,100,122.540041,-287.85006428556517,0.0,0.0,0.0,0.0,0.0
-261.4649060741067,100,124.659054,-261.4649060741067,0.0,0.0,0.0,0.0,0.0
-302.65837561152875,100,126.577571,-302.65837561152875,0.0,0.0,0.0,0.0,0.0
-276.7891494780779,100,128.682754,-276.7891494780779,0.0,0.0,0.0,0.0,0.0
-334.6468403786421,100,130.83558,-334.6468403786421,0.0,0.0,0.0,0.0,0.0
-576.2787126302719,100,132.937039,-576.2787126302719,0.0,0.0,0.0,0.0,0.0
-381.79520366713405,100,135.039612,-381.79520366713405,0.0,0.0,0.0,0.0,0.0
-208.68746958673,100,140.899318,-208.68746958673,0.0,0.0,0.0,0.0,0.0
-305.3465112466365,100,143.444305,-305.3465112466365,0.0,0.0,0.0,0.0,0.0
-346.01939683780074,100,145.674628,-346.01939683780074,0.0,0.0,0.0,0.0,0.0
-369.94950456544757,100,147.803474,-369.94950456544757,0.0,0.0,0.0,0.0,0.0
-269.719773048535,100,149.936839,-269.719773048535,0.0,0.0,0.0,0.0,0.0
-332.59487190749496,100,151.82992,-332.59487190749496,0.0,0.0,0.0,0.0,0.0
-259.6831568442285,100,154.152585,-259.6831568442285,0.0,0.0,0.0,0.0,0.0
-208.26030396856368,100,156.200188,-208.26030396856368,0.0,0.0,0.0,0.0,0.0
-326.1108766235411,100,158.346961,-326.1108766235411,0.0,0.0,0.0,0.0,0.0
-256.24085699394345,100,160.585428,-256.24085699394345,0.0,0.0,0.0,0.0,0.0
-331.0992333465256,100,166.317139,-331.0992333465256,0.0,0.0,0.0,0.0,0.0
-269.7084610434249,100,168.488577,-269.7084610434249,0.0,0.0,0.0,0.0,0.0
-252.80851245298982,100,170.756744,-252.80851245298982,0.0,0.0,0.0,0.0,0.0
-335.5517129525542,100,172.933579,-335.5517129525542,0.0,0.0,0.0,0.0,0.0
-247.8908386565745,100,174.655708,-247.8908386565745,0.0,0.0,0.0,0.0,0.0
-238.7958128619939,100,176.560293,-238.7958128619939,0.0,0.0,0.0,0.0,0.0
-325.37307511270046,100,178.587025,-325.37307511270046,0.0,0.0,0.0,0.0,0.0
-338.74906172789633,100,180.611351,-338.74906172789633,0.0,0.0,0.0,0.0,0.0
-218.38758237846196,100,182.605298,-218.38758237846196,0.0,0.0,0.0,0.0,0.0
-329.19293730705976,100,184.782138,-329.19293730705976,0.0,0.0,0.0,0.0,0.0
-218.79741704603657,100,190.109169,-218.79741704603657,0.0,0.0,0.0,0.0,0.0
-276.159458859358,100,191.990077,-276.159458859358,0.0,0.0,0.0,0.0,0.0
-289.90833609271795,100,193.817593,-289.90833609271795,0.0,0.0,0.0,0.0,0.0
-284.2708232495934,100,195.997456,-284.2708232495934,0.0,0.0,0.0,0.0,0.0
-266.6048271264881,100,198.162743,-266.6048271264881,0.0,0.0,0.0,0.0,0.0
-311.50160502037033,100,200.218973,-311.50160502037033,0.0,0.0,0.0,0.0,0.0
-224.2494230605662,100,202.189206,-224.2494230605662,0.0,0.0,0.0,0.0,0.0
-249.47030449472368,100,204.363218,-249.47030449472368,0.0,0.0,0.0,0.0,0.0
-381.7223187983036,100,206.4133,-381.7223187983036,0.0,0.0,0.0,0.0,0.0
-342.67056146264076,100,208.734576,-342.67056146264076,0.0,0.0,0.0,0.0,0.0
-410.02942468971014,100,214.396458,-410.02942468971014,0.0,0.0,0.0,0.0,0.0
-258.13035795651376,100,216.666727,-258.13035795651376,0.0,0.0,0.0,0.0,0.0
-377.192268368206,100,219.109756,-377.192268368206,0.0,0.0,0.0,0.0,0.0
-254.53526356630027,100,221.264016,-254.53526356630027,0.0,0.0,0.0,0.0,0.0
-288.7542663309723,100,223.282371,-288.7542663309723,0.0,0.0,0.0,0.0,0.0
-222.50695104897022,100,225.339794,-222.50695104897022,0.0,0.0,0.0,0.0,0.0
-208.45620065461844,100,227.172583,-208.45620065461844,0.0,0.0,0.0,0.0,0.0
