# {"t_start": 1593500252.868288, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-254.34919624961913,100,7.276401,-254.34919624961913,0.0,0.0,0.0,0.0,0.0
-416.479680435732,100,9.880725,-412.479680435732,0.0,0.0,-2.0,0.0,-2.0
-508.29543548822403,100,12.433205,-508.29543548822403,0.0,0.0,0.0,0.0,0.0
-337.3179249614477,100,15.133905,-337.3179249614477,0.0,0.0,0.0,0.0,0.0
-447.54543309658766,100,18.553122,-443.54543309658766,0.0,0.0,-2.0,-2.0,0.0
-306.3342654965818,100,21.516176,-304.3342654965818,-1.0,0.0,0.0,-1.0,0.0
-350.43474193057045,100,24.48874,-342.43474193057045,-4.0,-3.0,0.0,-1.0,0.0
-385.44050097838044,100,27.229235,-385.44050097838044,0.0,0.0,0.0,0.0,0.0
-306.48757197055966,100,31.079901,-306.48757197055966,0.0,0.0,0.0,0.0,0.0
-250.82092810049653,100,33.95281,-250.82092810049653,0.0,0.0,0.0,0.0,0.0
-507.8308558240533,100,274.28303,-501.8308558240533,-3.0,0.0,-2.0,0.0,-1.0
-362.7409286312759,100,277.527575,-361.7409286312759,-1.0,0.0,0.0,0.0,0.0
-349.3154028169811,100,280.858351,-335.3154028169811,-4.0,-2.0,-4.0,-2.0,-2.0
-525.8117118403316,100,283.771857,-519.8117118403316,-3.0,-3.0,0.0,0.0,0.0
-421.1760594397783,100,286.996322,-417.1760594397783,0.0,0.0,-2.0,-2.0,0.0
-509.4827796444297,100,290.071707,-509.4827796444297,0.0,0.0,0.0,0.0,0.0
-360.5273320376873,100,293.312785,-352.5273320376873,-1.0,-2.0,-1.0,-3.0,-1.0
-269.1383480131626,100,296.917955,-269.1383480131626,0.0,0.0,0.0,0.0,0.0
-379.94418372400105,100,299.89483,-379.94418372400105,0.0,0.0,0.0,0.0,0.0
-390.6669333912432,100,302.265334,-386.6669333912432,-2.0,0.0,0.0,0.0,-2.0
-346.59997954405844,100,466.539595,-336.59997954405844,-5.0,0.0,-5.0,0.0,0.0
-433.7161023616791,100,469.658086,-429.7161023616791,0.0,-2.0,0.0,-2.0,0.0
-361.31811847910285,100,472.763566,-359.31811847910285,-1.0,0.0,0.0,-1.0,0.0
-644.424910267815,100,476.146467,-644.424910267815,0.0,0.0,0.0,0.0,0.0
-559.4269850589335,100,479.364998,-559.4269850589335,0.0,0.0,0.0,0.0,0.0
-518.5932155549526,100,482.3831,-512.5932155549526,-1.0,-2.0,0.0,-3.0,0.0
-425.3082281779498,100,485.70383,-419.3082281779498,-2.0,0.0,0.0,-3.0,-1.0
-433.10477716475725,100,488.908454,-433.10477716475725,0.0,0.0,0.0,0.0,0.0
-391.4550640024245,100,492.154629,-391.4550640024245,0.0,0.0,0.0,0.0,0.0
-1045.6106598377228,100,495.36112,-1035.6106598377228,-2.0,-1.0,-2.0,-2.0,-3.0
-718.6886321566999,100,664.796988,-718.6886321566999,0.0,0.0,0.0,0.0,0.0
-472.1999148693867,100,668.04322,-459.1999148693867,0.0,-1.0,-4.0,-4.0,-4.0
-1016.0854191482067,100,671.30988,-1014.0854191482067,-1.0,-1.0,0.0,0.0,0.0
-311.0378878558986,100,674.806009,-307.0378878558986,-2.0,0.0,-2.0,0.0,0.0
-333.2842593602836,100,678.284765,-328.2842593602836,0.0,0.0,0.0,0.0,-5.0
-498.289389019832,100,681.596356,-496.289389019832,0.0,0.0,0.0,-1.0,-1.0
-402.49580700322986,100,684.858126,-394.49580700322986,-3.0,0.0,-1.0,0.0,-4.0
-351.04240928124636,100,688.009883,-347.04240928124636,0.0,0.0,-2.0,0.0,-2.0
-343.95803568325937,100,691.2415,-339.95803568325937,0.0,0.0,-2.0,0.0,-2.0
-377.43150954321027,100,694.45806,-377.43150954321027,0.0,0.0,0.0,0.0,0.0
-393.96067239018157,100,876.170525,-392.96067239018157,0.0,0.0,0.0,-1.0,0.0
-432.8449797462672,100,879.640104,-424.8449797462672,-2.0,-2.0,-2.0,-2.0,0.0
-292.1210854910314,100,883.06796,-289.1210854910314,-3.0,0.0,0.0,0.0,0.0
-519.8405422158539,100,886.201558,-503.84054221585393,-9.0,0.0,0.0,-4.0,-3.0
-496.31509866192937,100,889.467976,-490.31509866192937,0.0,-4.0,0.0,0.0,-2.0
-368.60194724053144,100,892.494387,-364.60194724053144,0.0,-2.0,-2.0,0.0,0.0
-363.18801505863667,100,895.703868,-354.18801505863667,-5.0,0.0,0.0,-4.0,0.0
-270.03925929032266,100,898.967949,-268.03925929032266,0.0,0.0,0.0,0.0,-2.0
-370.4086558734998,100,902.167969,-368.4086558734998,0.0,0.0,-1.0,0.0,-1.0
-573.7991917580366,100,905.509518,-573.7991917580366,0.0,0.0,0.0,0.0,0.0
-937.3988357782364,100,1079.108495,-931.3988357782364,-2.0,0.0,-2.0,-2.0,0.0
-332.91539394669235,100,1081.177575,-330.91539394669235,-1.0,-1.0,0.0,0.0,0.0
-361.43620982579887,100,1083.233369,-355.43620982579887,-2.0,0.0,-4.0,0.0,0.0
-440.3444375693798,100,1086.059993,-438.3444375693798,0.0,0.0,-1.0,0.0,-1.0
-517.6450174823403,100,1089.143858,-505.64501748234034,-2.0,0.0,-2.0,-6.0,-2.0
-404.95425263792276,100,1092.524747,-404.95425263792276,0.0,0.0,0.0,0.0,0.0
-296.10462475568056,100,1095.821777,-288.10462475568056,0.0,-4.0,-4.0,0.0,0.0
-605.7317249327898,100,1099.101577,-603.7317249327898,0.0,0.0,-1.0,0.0,-1.0
-354.25687637366354,100,1102.338788,-352.25687637366354,0.0,-1.0,0.0,0.0,-1.0
-360.13841363042593,100,1105.734136,-352.13841363042593,-2.0,-3.0,0.0,0.0,-3.0
-547.5505394041538,100,1279.714998,-543.5505394041538,-2.0,0.0,0.0,0.0,-2.0
-646.4449439644814,100,1281.926988,-646.4449439644814,0.0,0.0,0.0,0.0,0.0
-327.6140431817621,100,1283.96877,-325.6140431817621,-1.0,-1.0,0.0,0.0,0.0
-266.2854744680226,100,1286.038938,-262.2854744680226,-2.0,0.0,0.0,0.0,-2.0
-320.5541550144553,100,1288.157172,-320.5541550144553,0.0,0.0,0.0,0.0,0.0
-389.16830487921834,100,1290.22473,-388.16830487921834,0.0,0.0,-1.0,0.0,0.0
-319.1741554662585,100,1292.434743,-319.1741554662585,0.0,0.0,0.0,0.0,0.0
-509.8366599623114,100,1295.584979,-509.8366599623114,0.0,0.0,0.0,0.0,0.0
-386.70969887822866,100,1298.682222,-383.70969887822866,-1.0,0.0,-2.0,0.0,0.0
-311.5637583620846,100,1301.838049,-303.5637583620846,-2.0,-4.0,0.0,-2.0,0.0
-353.556231028866,100,1469.074382,-353.556231028866,0.0,0.0,0.0,0.0,0.0
-298.4720688704401,100,1471.220441,-292.4720688704401,-3.0,0.0,0.0,0.0,-3.0
-293.18671490624547,100,1473.394629,-285.18671490624547,0.0,-4.0,-2.0,0.0,-2.0
-390.87398920208216,100,1475.817244,-378.87398920208216,-2.0,-2.0,0.0,-3.0,-5.0
