# {"t_start": 1593579430.2494247, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-402.5677256397903,100,5.006479,-402.5677256397903,0.0,0.0,0.0,0.0,0.0
-492.4749078499153,100,6.687702,-488.4749078499153,0.0,-2.0,0.0,-2.0,0.0
-332.3253451138735,100,8.578545,-324.3253451138735,0.0,-4.0,0.0,-2.0,-2.0
-753.6826614588499,100,10.295846,-753.6826614588499,0.0,0.0,0.0,0.0,0.0
-397.4022003337741,100,12.02864,-393.4022003337741,-2.0,0.0,0.0,0.0,-2.0
-326.8628056338057,100,13.681226,-320.8628056338057,0.0,0.0,-3.0,-1.0,-2.0
-494.61969082057476,100,15.250763,-494.61969082057476,0.0,0.0,0.0,0.0,0.0
-415.2399402819574,100,16.801007,-412.2399402819574,-1.0,0.0,0.0,0.0,-2.0
-399.5516021512449,100,18.205899,-394.5516021512449,0.0,0.0,-1.0,0.0,-4.0
-342.33822509646416,100,19.307422,-336.33822509646416,-3.0,0.0,0.0,-1.0,-2.0
-421.3008159734309,100,51.877497,-411.3008159734309,0.0,-1.0,-5.0,-2.0,-2.0
-299.5668699669186,100,53.490756,-289.5668699669186,-5.0,-3.0,0.0,0.0,-2.0
-368.93781973049045,100,54.935227,-360.93781973049045,0.0,0.0,0.0,-4.0,-4.0
-1026.7244390696287,100,56.623674,-1020.7244390696287,0.0,-1.0,-1.0,-2.0,-2.0
-414.3148201946169,100,58.044704,-394.3148201946169,0.0,-11.0,-5.0,0.0,-4.0
-474.20958290435374,100,59.536271,-472.20958290435374,0.0,0.0,-1.0,0.0,-1.0
-601.5344729404896,100,60.886569,-589.5344729404896,-3.0,-4.0,0.0,-4.0,-1.0
-325.1228501982987,100,62.609953,-313.1228501982987,-2.0,-2.0,-4.0,0.0,-4.0
-303.5776376836002,100,64.23966,-297.5776376836002,0.0,0.0,-2.0,-2.0,-2.0
-251.21638909098692,100,66.030534,-246.21638909098692,0.0,0.0,0.0,-2.0,-3.0
-336.0419170046225,100,85.960549,-326.0419170046225,0.0,-1.0,-5.0,-2.0,-2.0
-471.7862139735371,100,87.349822,-444.7862139735371,-5.0,-5.0,-8.0,-3.0,-6.0
-333.4514168081805,100,88.888354,-325.4514168081805,0.0,-1.0,0.0,-7.0,0.0
-296.96286490373313,100,90.246674,-290.96286490373313,-3.0,0.0,-3.0,0.0,0.0
-356.76203325763345,100,91.773959,-352.76203325763345,0.0,-2.0,0.0,0.0,-2.0
-517.5840807557106,100,93.151311,-513.5840807557106,-1.0,0.0,-2.0,0.0,-1.0
-362.5257043838501,100,94.68689,-355.5257043838501,-1.0,0.0,-5.0,0.0,-1.0
-368.8855555411428,100,96.26211,-343.8855555411428,0.0,0.0,-12.0,-5.0,-8.0
-722.8029833901674,100,98.087619,-706.8029833901674,-6.0,-6.0,0.0,0.0,-4.0
